traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
翻轉,翻转,fan1 zhuan3],to roll,to turn over,to invert,to flip,,,,,,,,,,,,,,
翻造,翻造,fan1 zao4],to rebuild,to renovate,,,,,,,,,,,,,,,,
翻遍,翻遍,fan1 bian4],to rummage through,to turn everything over,to ransack,,,,,,,,,,,,,,,
翻過,翻过,fan1 guo4],to turn over,to transform,,,,,,,,,,,,,,,,
翻過來,翻过来,fan1 guo4 lai2],to overturn,to turn upside down,,,,,,,,,,,,,,,,
翻開,翻开,fan1 kai1],to open up,,,,,,,,,,,,,,,,,
翻閱,翻阅,fan1 yue4],to thumb through,to flip through (a book),,,,,,,,,,,,,,,,
翻雲覆雨,翻云覆雨,fan1 yun2 fu4 yu3],to produce clouds with one turn of the hand and rain with another (idiom); fig. to shift one's ground,tricky and inconstant,to make love,,,,,,,,,,,,,,,
翻領,翻领,fan1 ling3],turndown collar,lapel,,,,,,,,,,,,,,,,
翻騰,翻腾,fan1 teng2],to turn over,to surge,to churn,to rummage,raging (torrent),,,,,,,,,,,,,
翼,翼,Yi4],surname Yi,alternative name for 絳|绛[Jiang4] capital of the Jin State during the Spring and Autumn Period (770-475 BC),,,,,,,,,,,,,,,,
翼,翼,yi4],wing,area surrounding the bullseye of a target,to assist,one of the 28 constellations of Chinese astronomy,old variant of 翌,,,,,,,,,,,,,
翼側,翼侧,yi4 ce4],flank (military),,,,,,,,,,,,,,,,,
翼城,翼城,Yi4 cheng2],Yicheng county in Linfen 臨汾|临汾[Lin2 fen2] Shanxi,,,,,,,,,,,,,,,,,
翼城縣,翼城县,Yi4 cheng2 xian4],Yicheng county in Linfen 臨汾|临汾[Lin2 fen2] Shanxi,,,,,,,,,,,,,,,,,
翼子板,翼子板,yi4 zi5 ban3],(PRC) fender (automotive),,,,,,,,,,,,,,,,,
翼展,翼展,yi4 zhan3],wingspan,,,,,,,,,,,,,,,,,
翼手龍,翼手龙,yi4 shou3 long2],pterodactyl,,,,,,,,,,,,,,,,,
翼翼,翼翼,yi4 yi4],cautious,prudent,,,,,,,,,,,,,,,,
翼龍,翼龙,Yi4 long2],Dodge Nitro (abbr. for 道奇翼龍|道奇翼龙),,,,,,,,,,,,,,,,,
翼龍,翼龙,yi4 long2],pterosaur,,,,,,,,,,,,,,,,,
翽,翙,hui4],noise of bird's wings,,,,,,,,,,,,,,,,,
翾,翾,xuan1],flirtatious,short flight,,,,,,,,,,,,,,,,
翿,翿,dao4],feather banner or fan,,,,,,,,,,,,,,,,,
耀,耀,yao4],brilliant,glorious,,,,,,,,,,,,,,,,
耀州,耀州,Yao4 zhou1],Yaozhou District of Tongchuan City 銅川市|铜川市[Tong2 chuan1 Shi4] Shaanxi,,,,,,,,,,,,,,,,,
耀州區,耀州区,Yao4 zhou1 Qu1],Yaozhou District of Tongchuan City 銅川市|铜川市[Tong2 chuan1 Shi4] Shaanxi,,,,,,,,,,,,,,,,,
耀德,耀德,yao4 de2],to hold up as a virtuous example,,,,,,,,,,,,,,,,,
耀斑,耀斑,yao4 ban1],solar flare,,,,,,,,,,,,,,,,,
耀武揚威,耀武扬威,yao4 wu3 yang2 wei1],to show off one's military strength (idiom); to strut around,to bluff,to bluster,,,,,,,,,,,,,,,
耀眼,耀眼,yao4 yan3],to dazzle,dazzling,,,,,,,,,,,,,,,,
耀縣,耀县,Yao4 xian4],Yao county in Shaanxi,,,,,,,,,,,,,,,,,
耀西,耀西,Yao4 xi1],Yoshi (Nintendo video game character),,,,,,,,,,,,,,,,,
老,老,lao3],prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity,old (of people),venerable (person),experienced,of long standing,always,all the time,of the past,very,outdated,(of meat etc) tough,,,,,,,
老一套,老一套,lao3 yi1 tao4],the same old stuff,,,,,,,,,,,,,,,,,
老一輩,老一辈,lao3 yi1 bei4],previous generation,older generation,,,,,,,,,,,,,,,,
老丈,老丈,lao3 zhang4],(formal) Sir,CL:位[wei4],,,,,,,,,,,,,,,,
老丈人,老丈人,lao3 zhang4 ren5],(coll.) father-in-law (wife's father),,,,,,,,,,,,,,,,,
老三篇,老三篇,lao3 san1 pian1],Lao San Pian three short essays written by Mao Zedong before the PRC was established,,,,,,,,,,,,,,,,,
老三色,老三色,lao3 san1 se4],the three plain colors used for clothing in the PRC in the 1960s: black gray and blue,,,,,,,,,,,,,,,,,
老不死,老不死,lao3 bu4 si3],(derog.) old but still alive,old fart,old bastard,,,,,,,,,,,,,,,
老么,老幺,lao3 yao1],youngest,,,,,,,,,,,,,,,,,
老二,老二,lao3 er4],the second child or brother (or sister),(slang) penis,,,,,,,,,,,,,,,,
老人,老人,lao3 ren2],old man or woman,the elderly,one's aged parents or grandparents,,,,,,,,,,,,,,,
老人家,老人家,lao3 ren2 jia1],polite term for old woman or man,,,,,,,,,,,,,,,,,
老人院,老人院,lao3 ren2 yuan4],nursing home,old people's home,,,,,,,,,,,,,,,,
老伯,老伯,lao3 bo2],uncle (polite form of address for older male),,,,,,,,,,,,,,,,,
老伯伯,老伯伯,lao3 bo2 bo5],grandpa (polite form of address for old man),,,,,,,,,,,,,,,,,
老伴,老伴,lao3 ban4],(of an elderly couple) husband or wife,,,,,,,,,,,,,,,,,
老伴兒,老伴儿,lao3 ban4 r5],erhua variant of 老伴[lao3 ban4],,,,,,,,,,,,,,,,,
老佛爺,老佛爷,Lao3 fo2 ye2],title of respect for the queen mother or the emperor's father,nickname for Empress Dowager Cixi 慈禧太后[Ci2 xi3 tai4 hou4],,,,,,,,,,,,,,,,
老來俏,老来俏,lao3 lai2 qiao4],old person who dresses up as teenager,mutton dressed as lamb,,,,,,,,,,,,,,,,
老來少,老来少,lao3 lai2 shao4],old but young at heart,,,,,,,,,,,,,,,,,
老兄,老兄,lao3 xiong1],old chap' (form of address between male friends),,,,,,,,,,,,,,,,,
老兒,老儿,lao3 er2],father,husband,old man,,,,,,,,,,,,,,,
老兩口兒,老两口儿,lao3 liang3 kou3 r5],an old married couple,,,,,,,,,,,,,,,,,
老公,老公,lao3 gong1],(coll.) husband,,,,,,,,,,,,,,,,,
老公,老公,lao3 gong5],(coll.) eunuch,see also 老公[lao3 gong1],,,,,,,,,,,,,,,,
老公公,老公公,lao3 gong1 gong5],old man,husband's father,father-in-law,court eunuch,,,,,,,,,,,,,,
老兵,老兵,lao3 bing1],veteran,,,,,,,,,,,,,,,,,
老到,老到,lao3 dao5],experienced and careful,,,,,,,,,,,,,,,,,
老化,老化,lao3 hua4],to age (of person or object),becoming old,,,,,,,,,,,,,,,,
老化酶,老化酶,lao3 hua4 mei2],aged enzyme,,,,,,,,,,,,,,,,,
老千,老千,lao3 qian1],cheat,swindler (in gambling),,,,,,,,,,,,,,,,
老半天,老半天,lao3 ban4 tian1],(coll.) a long time,,,,,,,,,,,,,,,,,
老友,老友,lao3 you3],old friend,sb who passed the county level imperial exam (in Ming dynasty),,,,,,,,,,,,,,,,
老叟,老叟,lao3 sou3],old man,,,,,,,,,,,,,,,,,
老古板,老古板,lao3 gu3 ban3],overly conservative,old-fashioned,old fogey,a square,,,,,,,,,,,,,,
老君,老君,Lao3 jun1],Laozi or Lao-tze (c. 500 BC) Chinese philosopher the founder of Taoism,the sacred book of Daoism 道德經|道德经 by Laozi,,,,,,,,,,,,,,,,
老吾老，以及人之老,老吾老，以及人之老,lao3 wu2 lao3 yi3 ji2 ren2 zhi1 lao3],to honor old people as we do our own aged parents,,,,,,,,,,,,,,,,,
老吾老，以及人之老，幼吾幼，以及人之幼,老吾老，以及人之老，幼吾幼，以及人之幼,lao3 wu2 lao3 yi3 ji2 ren2 zhi1 lao3 you4 wu2 you4 yi3 ji2 ren2 zhi1 you4],to honor old people as we do our own aged parents and care for other's children as one's own,,,,,,,,,,,,,,,,,
老城,老城,lao3 cheng2],old town,old district of a city,,,,,,,,,,,,,,,,
老城區,老城区,Lao3 cheng2 qu1],Laocheng district of Luoyang City 洛陽市|洛阳市[Luo4 yang2 shi4] Henan,,,,,,,,,,,,,,,,,
老城區,老城区,lao3 cheng2 qu1],old city district,historical center,,,,,,,,,,,,,,,,
老境,老境,lao3 jing4],advanced years,old age,,,,,,,,,,,,,,,,
老墨,老墨,Lao3 Mo4],(coll.) a Mexican,,,,,,,,,,,,,,,,,
老外,老外,lao3 wai4],(coll.) foreigner (esp. non Asian person),layman,amateur,,,,,,,,,,,,,,,
老大,老大,lao3 da4],old age,very,eldest child in a family,leader of a group,boss,captain of a boat,leader of a criminal gang,,,,,,,,,,,
老大哥,老大哥,lao3 da4 ge1],big brother,,,,,,,,,,,,,,,,,
老大娘,老大娘,lao3 da4 niang2],old lady,Madam (polite address),CL:位[wei4],,,,,,,,,,,,,,,
老大媽,老大妈,lao3 da4 ma1],Madam (affectionate term for an elderly woman),CL:位[wei4],,,,,,,,,,,,,,,,
老大徒傷悲,老大徒伤悲,lao3 da4 tu2 shang1 bei1],vain regrets of old age (idiom),,,,,,,,,,,,,,,,,
老大爺,老大爷,lao3 da4 ye2],uncle,grandpa,CL:位[wei4],,,,,,,,,,,,,,,
老天,老天,lao3 tian1],God,Heavens,,,,,,,,,,,,,,,,
老天爺,老天爷,lao3 tian1 ye2],God,Heavens,,,,,,,,,,,,,,,,
老太,老太,lao3 tai4],old lady,,,,,,,,,,,,,,,,,
老太公,老太公,lao3 tai4 gong1],aged gentleman (dialect respectful term),,,,,,,,,,,,,,,,,
老太太,老太太,lao3 tai4 tai5],elderly lady (respectful),esteemed mother,CL:位[wei4],,,,,,,,,,,,,,,
老太婆,老太婆,lao3 tai4 po2],old woman (at times contemptuous),,,,,,,,,,,,,,,,,
老太爺,老太爷,lao3 tai4 ye2],elderly gentleman (respectful),esteemed father,,,,,,,,,,,,,,,,
老套,老套,lao3 tao4],hackneyed,well-worn (phrase etc),same old story,stereotypical fashion,,,,,,,,,,,,,,
老套子,老套子,lao3 tao4 zi5],old methods,old habits,,,,,,,,,,,,,,,,
老奶奶,老奶奶,lao3 nai3 nai5],(coll.) father's father's mother,paternal great-grandmother,respectful form of address for an old woman,,,,,,,,,,,,,,,
老奸巨滑,老奸巨滑,lao3 jian1 ju4 hua2],variant of 老奸巨猾[lao3 jian1 ju4 hua2],,,,,,,,,,,,,,,,,
老奸巨猾,老奸巨猾,lao3 jian1 ju4 hua2],cunning,crafty,wily old fox,,,,,,,,,,,,,,,
老好人,老好人,lao3 hao3 ren2],one who tries never to offend anybody,,,,,,,,,,,,,,,,,
老姥,老姥,lao3 mu3],old lady (term of modesty),,,,,,,,,,,,,,,,,
老娘,老娘,lao3 niang2],my old mother,I this old woman,my old lady (colloquial),maternal grandmother,midwife,,,,,,,,,,,,,
老婆,老婆,lao3 po2],(coll.) wife,,,,,,,,,,,,,,,,,
老婆孩子熱炕頭,老婆孩子热炕头,lao3 po2 hai2 zi5 re4 kang4 tou5],wife kids and a warm bed (idiom),the simple and good life,,,,,,,,,,,,,,,,
老婦人,老妇人,lao3 fu4 ren2],old lady (term of modesty),,,,,,,,,,,,,,,,,
老媽,老妈,lao3 ma1],mother,mom,,,,,,,,,,,,,,,,
老媽子,老妈子,lao3 ma1 zi5],older female servant,amah,,,,,,,,,,,,,,,,
老嫗,老妪,lao3 yu4],old woman (formal writing),,,,,,,,,,,,,,,,,
老子,老子,Lao3 zi3],Laozi or Lao-tze (c. 500 BC) Chinese philosopher the founder of Taoism,the sacred book of Daoism 道德經|道德经 by Laozi,,,,,,,,,,,,,,,,
老子,老子,lao3 zi5],father,daddy,I your father (in anger or out of contempt),I (used arrogantly or jocularly),,,,,,,,,,,,,,
老字號,老字号,lao3 zi4 hao4],shop firm or brand of merchandise with a long-established reputation,,,,,,,,,,,,,,,,,
老客,老客,lao3 ke4],peddler,old or regular customer,,,,,,,,,,,,,,,,
老客兒,老客儿,lao3 ke4 r5],erhua variant of 老客[lao3 ke4],,,,,,,,,,,,,,,,,
老家,老家,lao3 jia1],native place,place of origin,home state or region,,,,,,,,,,,,,,,
老家賊,老家贼,lao3 jia1 zei2],(dialect) sparrow,,,,,,,,,,,,,,,,,
老實,老实,lao3 shi5],honest,sincere,well-behaved,open and guileless,naive,,,,,,,,,,,,,
老實巴交,老实巴交,lao3 shi5 ba1 jiao1],(coll.) docile,well-behaved,biddable,,,,,,,,,,,,,,,
老實說,老实说,lao3 shi2 shuo1],honestly speaking,to be frank ...,,,,,,,,,,,,,,,,
老將,老将,lao3 jiang4],lit. old general,commander-in-chief 將帥|将帅 the equivalent of king in Chinese chess,fig. old-timer,veteran,,,,,,,,,,,,,,
老小,老小,lao3 xiao3],the old and the young,the youngest member of the family,,,,,,,,,,,,,,,,
老小老小,老小老小,lao3 xiao3 lao3 xiao3],(coll.) as one ages one becomes more and more like a child,,,,,,,,,,,,,,,,,
老少,老少,lao3 shao4],the old and the young,,,,,,,,,,,,,,,,,
老少咸宜,老少咸宜,lao3 shao4 xian2 yi2],suitable for young and old,,,,,,,,,,,,,,,,,
老少無欺,老少无欺,lao3 shao4 wu2 qi1],cheating neither old nor young,treating youngsters and old folk equally scrupulously,Our house offers sincere treatment to all and fair trade to old and young alike.,,,,,,,,,,,,,,,
老少皆宜,老少皆宜,lao3 shao4 jie1 yi2],suitable for both the young and the old,,,,,,,,,,,,,,,,,
老山自行車館,老山自行车馆,Lao3 shan1 Zi4 xing2 che1 guan3],Laoshan Velodrome a Beijing 2008 Olympics venue,,,,,,,,,,,,,,,,,
老師,老师,lao3 shi1],teacher,CL:個|个[ge4]位[wei4],,,,,,,,,,,,,,,,
老帽兒,老帽儿,lao3 mao4 r5],(dialect) country bumpkin,a hick,,,,,,,,,,,,,,,,
老年,老年,lao3 nian2],elderly,old age,autumn of one's years,,,,,,,,,,,,,,,
老年人,老年人,lao3 nian2 ren2],old people,the elderly,,,,,,,,,,,,,,,,
老年性痴獃症,老年性痴呆症,lao3 nian2 xing4 chi1 dai1 zheng4],senile dementia,,,,,,,,,,,,,,,,,
老年期,老年期,lao3 nian2 qi1],old age,,,,,,,,,,,,,,,,,
老年痴獃,老年痴呆,lao3 nian2 chi1 dai1],senile dementia,Alzheimer's disease,,,,,,,,,,,,,,,,
老年痴獃症,老年痴呆症,lao3 nian2 chi1 dai1 zheng4],senile dementia,Alzheimer's disease,,,,,,,,,,,,,,,,
老式,老式,lao3 shi4],old-fashioned,old type,outdated,,,,,,,,,,,,,,,
老弟,老弟,lao3 di4],(affectionate form of address for a male who is not very much younger than oneself) my boy,old pal,,,,,,,,,,,,,,,,
老態,老态,lao3 tai4],elderly as in movement or bearing,,,,,,,,,,,,,,,,,
老態龍鍾,老态龙钟,lao3 tai4 long2 zhong1],doddering,senile,,,,,,,,,,,,,,,,
老成,老成,lao3 cheng2],mature,experienced,sophisticated,,,,,,,,,,,,,,,
老成持重,老成持重,lao3 cheng2 chi2 zhong4],old and wise,experienced and knowledgeable,,,,,,,,,,,,,,,,
老手,老手,lao3 shou3],experienced person,an old hand at sth,,,,,,,,,,,,,,,,
老抽,老抽,lao3 chou1],dark soy sauce,,,,,,,,,,,,,,,,,
老拙,老拙,lao3 zhuo1],old fart (usually in self reference),geezer,,,,,,,,,,,,,,,,
老掉牙,老掉牙,lao3 diao4 ya2],very old,obsolete,out of date,,,,,,,,,,,,,,,
老摳,老抠,lao3 kou1],penny-pincher,miser,,,,,,,,,,,,,,,,
老撾,老挝,Lao3 wo1],Laos,,,,,,,,,,,,,,,,,
老於世故,老于世故,lao3 yu2 shi4 gu4],experienced in the ways of the world (idiom); worldly-wise,sophisticated,,,,,,,,,,,,,,,,
老旦,老旦,lao3 dan4],old woman role in Chinese opera,,,,,,,,,,,,,,,,,
老早,老早,lao3 zao3],a long time ago,,,,,,,,,,,,,,,,,
老是,老是,lao3 shi5],always,,,,,,,,,,,,,,,,,
老朋友,老朋友,lao3 peng2 you5],old friend,(slang) period,menstruation,,,,,,,,,,,,,,,
老本,老本,lao3 ben3],capital,assets,savings,nest egg,(fig.) reputation,laurels (to rest upon),old edition of a book,(tree) trunk,,,,,,,,,,
老東西,老东西,lao3 dong1 xi5],(derog.) old fool,old bastard,,,,,,,,,,,,,,,,
老板,老板,lao3 ban3],variant of 老闆|老板[lao3 ban3],,,,,,,,,,,,,,,,,
老框框,老框框,lao3 kuang4 kuang4],rigid conventions,reactionary framework,,,,,,,,,,,,,,,,
老樣子,老样子,lao3 yang4 zi5],old situation,things as they were,,,,,,,,,,,,,,,,
老歌,老歌,lao3 ge1],oldie (song),,,,,,,,,,,,,,,,,
老殘遊記,老残游记,Lao3 Can2 You2 ji4],The Travels of Lao Tsan novel by late Qing novelist Liu E 劉鶚|刘鹗[Liu2 E4],,,,,,,,,,,,,,,,,
老毛子,老毛子,lao3 mao2 zi5],Westerner (esp. a Russian) (derog.),,,,,,,,,,,,,,,,,
老毛病,老毛病,lao3 mao2 bing4],chronic illness,old weakness,chronic problem,,,,,,,,,,,,,,,
老氣橫秋,老气横秋,lao3 qi4 heng2 qiu1],old and decrepit,proud of one's age and experience (idiom),,,,,,,,,,,,,,,,
老河口,老河口,Lao3 he2 kou3],Laohekou county level city in Xiangfan 襄樊[Xiang1 fan2] Hubei,,,,,,,,,,,,,,,,,
老河口市,老河口市,Lao3 he2 kou3 shi4],Laohekou county level city in Xiangfan 襄樊[Xiang1 fan2] Hubei,,,,,,,,,,,,,,,,,
老油子,老油子,lao3 you2 zi5],(coll.) wily old fox,crafty fellow,,,,,,,,,,,,,,,,
老油條,老油条,lao3 you2 tiao2],old fox,slick customer,,,,,,,,,,,,,,,,
老漢,老汉,lao3 han4],old man,I (an old man referring to himself),,,,,,,,,,,,,,,,
老烏恰,老乌恰,Lao3 wu1 qia4],same as 烏魯克恰提|乌鲁克恰提 in Xinjiang,,,,,,,,,,,,,,,,,
老煙槍,老烟枪,lao3 yan1 qiang1],heavy smoker,chain smoker,life-long smoker,,,,,,,,,,,,,,,
老煙鬼,老烟鬼,lao3 yan1 gui3],heavy smoker,chain smoker,,,,,,,,,,,,,,,,
老父,老父,lao3 fu4],father,old man,venerable sir,,,,,,,,,,,,,,,
老爸,老爸,lao3 ba4],father,dad,,,,,,,,,,,,,,,,
老爹,老爹,lao3 die1],(dialect) father,old man,sir,,,,,,,,,,,,,,,
老爺,老爷,lao3 ye5],(respectful) lord,master,(coll.) maternal grandfather,,,,,,,,,,,,,,,
老爺子,老爷子,lao3 ye2 zi5],my (you etc) old father,polite appellation for an elderly male,,,,,,,,,,,,,,,,
老爺嶺,老爷岭,Lao3 ye5 ling3],Chinese name for Sichote-Alin mountain range in Russia's Primorsky Krai around Vladivostok,,,,,,,,,,,,,,,,,
老爺爺,老爷爷,lao3 ye2 ye5],(coll.) father's father's father,paternal great-grandfather,,,,,,,,,,,,,,,,
老爺車,老爷车,lao3 ye5 che1],classic car,,,,,,,,,,,,,,,,,
老牌,老牌,lao3 pai2],old well-known brand,old style,old school,an old hand,experienced veteran,,,,,,,,,,,,,
老牛吃嫩草,老牛吃嫩草,lao3 niu2 chi1 nen4 cao3],lit. an old cow eats young grass (idiom),fig. a May-December relationship,a romance where the man is significantly older than the woman,,,,,,,,,,,,,,,
老牛拉破車,老牛拉破车,lao3 niu2 la1 po4 che1],see 老牛破車|老牛破车[lao3 niu2 po4 che1],,,,,,,,,,,,,,,,,
老牛破車,老牛破车,lao3 niu2 po4 che1],lit. old ox pulling a shabby cart (idiom),fig. slow and inefficient,,,,,,,,,,,,,,,,
老牛舐犢,老牛舐犊,lao3 niu2 shi4 du2],lit. an old ox licking its calf (idiom),fig. (of parents) to dote on one's children,,,,,,,,,,,,,,,,
老狐狸,老狐狸,lao3 hu2 li5],old fox,fig. cunning person,,,,,,,,,,,,,,,,
老玉米,老玉米,lao3 yu4 mi5],(dialect) corn,,,,,,,,,,,,,,,,,
老王賣瓜，自賣自誇,老王卖瓜，自卖自夸,Lao3 Wang2 mai4 gua1 zi4 mai4 zi4 kua1],every potter praises his own pot (idiom),all one's geese are swans,,,,,,,,,,,,,,,,
老生,老生,lao3 sheng1],venerable middle-aged or elderly man usually wearing an artificial beard (in Chinese opera),,,,,,,,,,,,,,,,,
老當益壯,老当益壮,lao3 dang1 yi4 zhuang4],old but vigorous (idiom); hale and hearty despite the years,,,,,,,,,,,,,,,,,
老百姓,老百姓,lao3 bai3 xing4],ordinary people,"the ""person in the street""",CL:個|个[ge4],,,,,,,,,,,,,,,
老皇曆,老皇历,lao3 huang2 li4],lit. last year's calendar (almanac),fig. ancient history,obsolete practice,old-fashioned principle,,,,,,,,,,,,,,
老眼昏花,老眼昏花,lao3 yan3 hun1 hua1],blurred vision of an old person (idiom),,,,,,,,,,,,,,,,,
老神在在,老神在在,lao3 shen2 zai4 zai4],calm,unperturbed,(Taiwanese POJ pr. [lāu-sîn-tsāi-tsāi]),,,,,,,,,,,,,,,
老粗,老粗,lao3 cu1],uneducated person,yokel,boor,roughneck,,,,,,,,,,,,,,
老糊塗,老糊涂,lao3 hu2 tu5],dotard,,,,,,,,,,,,,,,,,
老練,老练,lao3 lian4],seasoned,experienced,,,,,,,,,,,,,,,,
老總,老总,lao3 zong3],boss,executive,,,,,,,,,,,,,,,,
老繭,老茧,lao3 jian3],callus (patch or hardened skin),corns (on feet),also 老趼,,,,,,,,,,,,,,,
老美,老美,Lao3 Mei3],(coll.) an American,person from the United States,,,,,,,,,,,,,,,,
老羞成怒,老羞成怒,lao3 xiu1 cheng2 nu4],see 惱羞成怒|恼羞成怒[nao3 xiu1 cheng2 nu4],,,,,,,,,,,,,,,,,
老翁,老翁,lao3 weng1],old man,,,,,,,,,,,,,,,,,
老老,老老,lao3 lao5],maternal grandmother,same as 姥姥,,,,,,,,,,,,,,,,
老耄,老耄,lao3 mao4],dim sight of the aged,doddering,senile,,,,,,,,,,,,,,,
老者,老者,lao3 zhe3],old man,elderly man,,,,,,,,,,,,,,,,
老聃,老聃,Lao3 Dan1],another name for Laozi 老子[Lao3 zi3],,,,,,,,,,,,,,,,,
老臉,老脸,lao3 lian3],self-respect of old person,face,thick-skinned (i.e. impervious to criticism),brazen,,,,,,,,,,,,,,
老舊,老旧,lao3 jiu4],outmoded,old-fashioned,,,,,,,,,,,,,,,,
老舍,老舍,Lao3 She3],Lao She (1899-1966) Chinese novelist and dramatist,,,,,,,,,,,,,,,,,
老花,老花,lao3 hua1],presbyopia,,,,,,,,,,,,,,,,,
老花眼,老花眼,lao3 hua1 yan3],presbyopia,,,,,,,,,,,,,,,,,
老花鏡,老花镜,lao3 hua1 jing4],presbyopic glasses,,,,,,,,,,,,,,,,,
老莊,老庄,Lao3 Zhuang1],Laozi and Zhuangzi (or Lao-tze and Chuang-tze) the founders of Daoism,,,,,,,,,,,,,,,,,
老著臉,老着脸,lao3 zhe5 lian3],shamelessly,,,,,,,,,,,,,,,,,
老虎,老虎,lao3 hu3],tiger,CL:隻|只[zhi1],,,,,,,,,,,,,,,,
老虎伍茲,老虎伍兹,Lao3 hu3 Wu3 zi1],"Eldrick ""Tiger"" Woods (1975-) American golfer",,,,,,,,,,,,,,,,,
老虎機,老虎机,lao3 hu3 ji1],slot machine,,,,,,,,,,,,,,,,,
老虎灶,老虎灶,lao3 hu3 zao4],old-style large kitchen stove,,,,,,,,,,,,,,,,,
老虎菜,老虎菜,lao3 hu3 cai4],Tiger Vegetable Salad Northeast China dish usually consisting of hot pepper cucumber cilantro and leek,,,,,,,,,,,,,,,,,
老虎鉗,老虎钳,lao3 hu3 qian2],vise,pincer pliers,,,,,,,,,,,,,,,,
老處女,老处女,lao3 chu3 nu:3],unmarried old woman,spinster,,,,,,,,,,,,,,,,
老蚌生珠,老蚌生珠,lao3 bang4 sheng1 zhu1],lit. an old oyster producing a pearl (idiom),fig. birthing a son at an advanced age,,,,,,,,,,,,,,,,
老街,老街,Lao3 jie1],Lao Cai Vietnam,Laokai or Laukkai Burma (Myanmar),,,,,,,,,,,,,,,,
老視,老视,lao3 shi4],presbyopia,,,,,,,,,,,,,,,,,
老視眼,老视眼,lao3 shi4 yan3],presbyopia,,,,,,,,,,,,,,,,,
老調重彈,老调重弹,lao3 diao4 chong2 tan2],to play the same old tune (idiom); unoriginal,,,,,,,,,,,,,,,,,
